Kinase	Observed	SamplingAvg	SD	Z
DDR	27	21.2605	2.5888203385659434	2.2170329530010378
AXL	29	35.1315	3.1135277062182527	-1.9693095994470637
INSR	24	19.3285	2.529384637282685	1.846891900560679
EGFR	73	78.1695	3.3961060817146347	-1.5221844888278664
ALK	26	29.715	2.9243890003747377	-1.2703508320965342
ACK	0	0.61	0.4878719191598881	-1.250328162052072
SEV	0	0.603	0.4893983606201484	-1.232125091788006
FRK	10	7.8935	1.723845576548518	1.221977205300275
ABL	41	37.632	3.312108245591508	1.0168749781903679
SRC	97	94.6185	2.7019637403242505	0.8813959878359469
SYK	78	75.225	3.3499232816583273	0.8283771796189568
JAK	17	18.8185	2.491517927045759	-0.7298763457649414
TEC	84	82.0165	3.1260380367013214	0.6345092339609049
CSK	40	41.7485	3.3335872798047506	-0.524510040757778
FAK	35	33.41	3.0735359623169902	0.5173194716099496
RET	8	7.274	1.687705002092203	0.4301699640043711
VEGFR	18	18.8435	2.516579888890592	-0.3351771202351327
FGFR	30	30.9535	2.957653057037438	-0.32238399217624286
FER	5	5.4545	1.4152495241503542	-0.32114478206439223
RYK	1	1.208	0.687729951538481	-0.30244429450061777
PDGFR	81	80.0585	3.1429312366609596	0.2995611195745573
MET	20	20.604	2.621186622439316	-0.2304299872543633
EPH	22	22.449	2.664197435248933	-0.16853105331439097
TRK	12	12.052	2.0504629231223737	-0.02536012693212507
