Kinase	Observed	SamplingAvg	SD	Z
INSR	25	17.7645	2.5086223994797594	2.8842523296852103
DDR	27	19.4005	2.6770661350713345	2.8387419722066367
SEV	0	0.56	0.49651108913176895	-1.1278700763345526
ACK	0	0.5475	0.4978631175754245	-1.0996998586003022
ALK	24	27.2055	3.076849565972606	-1.0418123900011758
FRK	9	7.236	1.7212743513735247	1.0248221026429527
CSK	35	38.3075	3.2746458438587447	-1.0100328883512295
SYK	72	68.6985	3.4258525921281984	0.9637017096374996
SRC	89	86.5315	2.679477103610775	0.9212618374956579
JAK	15	17.2375	2.5312639922970006	-0.8839457309901433
VEGFR	15	17.114	2.552109055333482	-0.8283345085046792
ABL	37	34.35	3.209306751451543	0.8257234989461276
FAK	33	30.4225	3.1896834937647336	0.8080739060908572
AXL	30	32.2555	3.08690528557665	-0.7306670569190006
EGFR	69	71.4935	3.41288465096909	-0.73061361722025
TEC	77	74.8325	3.200869652651703	0.677159720704146
PDGFR	75	73.172	3.2152114693121194	0.5685473622645093
FGFR	27	28.2765	3.018709004197989	-0.4228628855000018
RET	6	6.687	1.6986682244830609	-0.4044344799638954
TRK	12	11.167	2.114319316727382	0.393980224940359
EPH	21	20.4745	2.7959360470492873	0.1879513662533846
RYK	1	1.074	0.6991197209291811	-0.10584739320705855
FER	5	4.9345	1.4447329776427007	0.04533709759077641
MET	19	18.9215	2.656099618348547	0.029554614389352724
