Kinase	Observed	SamplingAvg	SD	Z
PKG	33	20.8685	2.819074553939703	4.303362599277848
PKA	37	25.9705	2.8864849987179757	3.82108343015769
DYRK	13	23.2315	2.8546422264656144	-3.5841619328485206
RSK	46	35.895	2.931086937522949	3.447526537216837
ERK	16	25.4575	2.906444126201184	-3.2539761954279354
DMPK	53	44.541	2.6286448765368577	3.218007907992662
JNK	12	20.847	2.8465140648099	-3.1080120451085262
CAMK1	15	9.0665	2.1225763626328273	2.7954235731901456
PDK1	19	27.1625	2.9264955045188406	-2.789172232588834
AUR	9	4.7895	1.6150832786573264	2.6069863118763332
AKT	24	17.3825	2.593946419842651	2.5511321087354677
PLK	13	19.9625	2.796248066897108	-2.489943607802302
GSK	4	9.113	2.121669564486995	-2.4098945875373796
NMO	1	4.7505	1.5705040565040729	-2.388086795744149
P38	16	22.3675	2.8512292970317428	-2.233247254659193
RIPK	22	16.4725	2.5951129176834993	2.129965121106971
AMPK	15	10.3645	2.2331890463322464	2.0757311198589616
PKD	24	18.6395	2.644056593122359	2.0273771801797174
MLCK	0	2.1775	1.0860863417661073	-2.0049050579709187
CDK	38	43.1865	2.6650082334661223	-1.9461478335676343
RAD53	19	14.2685	2.4699105204418834	1.9156564421424884
PAKA	19	14.295	2.501620285340286	1.8807810392215445
ATM	0	1.762	0.9595917924847535	-1.8361974474974427
IRAK	3	5.9915	1.7753883383293747	-1.6849834683576757
DAPK	14	10.359	2.2270156711167752	1.6349233852378586
PAKB	2	0.888	0.7068987571968586	1.5730682628578
BARK2	0	1.292	0.8462234025501255	-1.526783584697032
RAF	7	10.4235	2.265990976935649	-1.5108180195093615
PHK	46	41.9835	2.768765208606572	1.4506466592092768
STE7	18	22.0395	2.8481565525570987	-1.4182858018718472
PKCI	7	4.829	1.5814580312965552	1.3727838216611479
PRKDC	3	5.25	1.655255247678582	-1.3593069728403033
FRAY	6	8.678	2.07013495438454	-1.293635467739919
MTOR	8	10.8065	2.224304726371339	-1.26174258712224
NUAK	0	0.892	0.709639199802934	-1.2569767851715454
MST	8	10.801	2.24542200042219	-1.2474269867638907
TLK	0	0.877	0.7107204526259888	-1.2339591421066287
"NAK"	0	0.866	0.7030584225886114	-1.2317610772820973
TTK	0	0.866	0.7051897945398541	-1.2280381915695147
PASK	1	0.4025	0.4905242675225297	1.2180844854379338
BRSK	1	0.4195	0.49360061870442656	1.1760520104769352
MARK	4	2.571	1.2160174131872403	1.1751476455049454
TAO	1	0.425	0.49446663044568756	1.1628691697187405
KHS	1	0.4335	0.4956819547856771	1.142869928046792
PDHK	30	26.7715	2.9825719803231747	1.0824550157713808
CK1	15	17.829	2.7117219101262817	-1.0432485681646675
PDK	0	0.4535	0.49795755930142555	-0.9107201839373739
NIK	0	0.4475	0.4973604665801841	-0.8997498395418896
MOS	0	0.443	0.4968646065263749	-0.8915909770612418
BUD32	0	0.4395	0.49645038170067446	-0.8852848465830939
CLK	0	0.433	0.495614585044119	-0.8736627473573138
ULK	0	0.433	0.495614585044119	-0.8736627473573138
SLK	0	0.43	0.4951995671501065	-0.8683367848535639
WNK	0	0.4255	0.49454224897172233	-0.8603916063485404
CAMKK	0	0.4225	0.49408077062758876	-0.8551233424108657
PKCA	54	52.329	2.0842099139680585	0.8017426597969863
CHK1	7	5.6195	1.7396071011677368	0.7935699958187793
PIM	33	30.6815	2.935364701866956	0.7898507461527298
PKCD	7	5.668	1.706526330314897	0.7805329319203721
NDR	3	2.1745	1.0754664402165304	0.7675739280472544
PEK	40	41.9845	2.746640086702832	-0.7225191278636961
LKB	4	4.817	1.5458673464843171	-0.5285058914389125
NEK	10	9.0985	2.1057100363959633	0.4281216237839501
ATR	5	5.6535	1.7137404129860365	-0.3813296314004383
MELK	13	12.1735	2.349501612877603	0.351776732337598
CAMK2	8	7.3385	1.8938614272308247	0.34928637887051506
SGK	12	11.24	2.311075623009259	0.32885120349735736
CK2	3	3.4375	1.3693178103102348	-0.31950216137251536
IKK	26	25.1145	2.9362732502783437	0.3015727503957813
QIK	30	30.7755	2.9357126825486923	-0.26416072819726233
MSN	2	1.747	0.9982430789253243	0.25344528335961153
STE11	4	4.3575	1.517183137375369	-0.2356340452204421
PKN	1	0.863	0.6953220378847373	0.19703100511062807
VRK1	2	2.2	1.0828602371250748	-0.18469604215128213
HAL	1	0.878	0.7115962230031131	0.17144554180618
COT	2	2.145	1.0782190306886024	-0.13448102460906858
GRK	5	5.1875	1.6666531181707112	-0.11250091453091131
MLK	8	7.789	1.9807677098438827	0.10652435363893861
MAPKAPK	21	21.205	2.725011530970458	-0.07522903946281345
PKCH	7	6.897	1.8735383831233665	0.054976188866912336
STKR	3	3.0065	1.27250437472405	-0.00510803744891605
