Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
LCK	3.4306628374094	1	UKA	1	1	LCK	TK	SRC	SRCB
FYN	2.79616183373258	2	UKA	0.9855072463768116	1	FYN	TK	SRC	SRCA
SRC	2.25806673736725	6	UKA	0.927536231884058	1	SRC	TK	SRC	SRCA
ABL	2.33701744597505	4	UKA	0.9565217391304348	1	ABL1	TK	ABL	NA
YES	2.23469949368519	7	UKA	0.9130434782608695	1	YES1	TK	SRC	SRCA
BLK	2.26616725046132	5	UKA	0.9420289855072463	1	BLK	TK	SRC	SRCB
LYN	2.45108353366869	3	UKA	0.9710144927536232	1	LYN	TK	SRC	SRCB
SYK	1.97286776409291	9	UKA	0.8840579710144928	1	SYK	TK	SYK	NA
HCK	2.13783790286447	8	UKA	0.8985507246376812	1	HCK	TK	SRC	SRCB
RON	1.68052759201978	12	UKA	0.8405797101449275	1	MST1R	TK	MET	NA
CTK	1.75598619577449	10	UKA	0.8695652173913043	1	MATK	TK	CSK	NA
ZAP70	1.70524765281168	11	UKA	0.855072463768116	1	ZAP70	TK	SYK	NA
DDR1	1.56052978945062	13	UKA	0.8260869565217391	1	DDR1	TK	DDR	NA
FRK	1.52102336712766	14	UKA	0.8115942028985508	1	FRK	TK	SRC	FRK
EPHA2	1.45364911649308	15	UKA	0.7971014492753623	1	EPHA2	TK	EPH	NA
EPHA1	1.40687336994201	19	UKA	0.7391304347826086	2	EPHA1	TK	EPH	NA
LTK	1.42173068894696	18	UKA	0.7536231884057971	1	LTK	TK	ALK	NA
ARG	1.45114162595362	16	UKA	0.782608695652174	1	ABL2	TK	ABL	NA
INSR	1.33791869458175	24	UKA	0.6666666666666666	2	INSR	TK	INSR	NA
FMS/CSFR	1.44764994007578	17	UKA	0.7681159420289855	1	CSF1R	TK	PDGFR	NA
HER3	1.37229629939373	22	UKA	0.6956521739130435	2	ERBB3	TK	EGFR	NA
EPHA5	1.37482519697396	21	UKA	0.7101449275362319	2	EPHA5	TK	EPH	NA
TEC	1.39626573690337	20	UKA	0.7246376811594203	2	TEC	TK	TEC	NA
FGR	1.34283097645545	23	UKA	0.6811594202898551	2	FGR	TK	SRC	SRCA
TRKA	1.29348927355326	31	UKA	0.5652173913043478	2	NTRK1	TK	TRK	NA
PDGFR[BETA]	1.32176944038626	26	UKA	0.6376811594202898	2	PDGFRB	TK	PDGFR	NA
ALK	1.31370508934242	27	UKA	0.6231884057971014	2	ALK	TK	ALK	NA
SRM	1.32618805307675	25	UKA	0.6521739130434783	2	SRMS	TK	SRC	SRM
PDGFR[ALPHA]	1.30691915159391	28	UKA	0.6086956521739131	2	PDGFRA	TK	PDGFR	NA
JAK2	1.30393991323838	29	UKA	0.5942028985507246	2	JAK2	TK	JAKA	NA
RYK	1.26869752616408	32	UKA	0.5507246376811594	2	RYK	TK	RYK	NA
TRKC	1.22705983555265	33	UKA	0.5362318840579711	2	NTRK3	TK	TRK	NA
IRR	1.2032679918275	35	UKA	0.5072463768115942	2	INSRR	TK	INSR	NA
TRKB	1.29565137935266	30	UKA	0.5797101449275363	2	NTRK2	TK	TRK	NA
EPHA3	1.19724566251796	36	UKA	0.4927536231884058	3	EPHA3	TK	EPH	NA
BRK	1.18904801128705	37	UKA	0.4782608695652174	3	PTK6	TK	SRC	SRM
EPHA4	1.2166878498028	34	UKA	0.5217391304347826	2	EPHA4	TK	EPH	NA
ETK/BMX	1.17945954230379	38	UKA	0.463768115942029	3	BMX	TK	TEC	NA
RET	1.1623656979175	40	UKA	0.43478260869565216	3	RET	TK	RET	NA
FES	1.17568125758196	39	UKA	0.4492753623188406	3	FES	TK	FER	NA
IGF1R	1.13221640424908	42	UKA	0.4057971014492754	3	IGF1R	TK	INSR	NA
EPHA8	1.12708422904958	43	UKA	0.391304347826087	3	EPHA8	TK	EPH	NA
FAK1	1.15720167528175	41	UKA	0.42028985507246375	3	PTK2	TK	FAK	NA
BTK	1.10929877106054	46	UKA	0.34782608695652173	3	BTK	TK	TEC	NA
MER	1.12194906170336	45	UKA	0.36231884057971014	3	MERTK	TK	AXL	NA
KDR	1.10922716722576	47	UKA	0.3333333333333333	3	KDR	TK	VEGFR	NA
TYRO3/SKY	1.09370029765563	48	UKA	0.3188405797101449	3	TYRO3	TK	AXL	NA
EPHB3	1.08460016478773	50	UKA	0.2898550724637681	3	EPHB3	TK	EPH	NA
CSK	1.08328211620811	51	UKA	0.2753623188405797	3	CSK	TK	CSK	NA
EPHB1	1.07964403664404	52	UKA	0.2608695652173913	3	EPHB1	TK	EPH	NA
AXL	1.1249962884095701	44	UKA	0.37681159420289856	3	AXL	TK	AXL	NA
ITK	1.06984005789	53	UKA	0.2463768115942029	4	ITK	TK	TEC	NA
EGFR	1.06713017750998	55	UKA	0.21739130434782608	4	EGFR	TK	EGFR	NA
KIT	1.06945419533757	54	UKA	0.2318840579710145	4	KIT	TK	PDGFR	NA
HER4	1.04915365699469	58	UKA	0.17391304347826086	4	ERBB4	TK	EGFR	NA
CCK4/PTK7	1.04243668208103	60	UKA	0.14492753623188406	4	PTK7	TK	CCK4	NA
FGFR2	0.990532036194235	68	UKA	0.028985507246376812	4	FGFR2	TK	FGFR	NA
TXK	1.04532978466213	59	UKA	0.15942028985507245	4	TXK	TK	TEC	NA
FLT4	1.04940552310017	57	UKA	0.18840579710144928	4	FLT4	TK	VEGFR	NA
FGFR3	0.948692937081354	70	UKA	0	4	FGFR3	TK	FGFR	NA
LMR1	1.03653730352561	61	UKA	0.13043478260869565	4	AATK	TK	LMR	NA
HER2	1.04967759603396	56	UKA	0.2028985507246377	4	ERBB2	TK	EGFR	NA
FGFR1	1.01794349416583	66	UKA	0.057971014492753624	4	FGFR1	TK	FGFR	NA
FAK2	1.02680946136944	62	UKA	0.11594202898550725	4	PTK2B	TK	FAK	NA
FER	1.02581998415422	63	UKA	0.10144927536231885	4	FER	TK	FER	NA
FGFR4	1.02572090711734	64	UKA	0.08695652173913043	4	FGFR4	TK	FGFR	NA
MET	1.02557553149499	65	UKA	0.07246376811594203	4	MET	TK	MET	NA
FLT3	0.965137206320942	69	UKA	0.014492753623188406	4	FLT3	TK	PDGFR	NA
FLT1	1.00014483725801	67	UKA	0.043478260869565216	4	FLT1	TK	VEGFR	NA
DDR	2.2170329530010378	1	KRSA	1	1	DDR1	TK	DDR	NA
DDR	2.2170329530010378	1	KRSA	1	1	DDR2	TK	DDR	NA
AXL	-1.9693095994470635	2	KRSA	0.9565217391304348	1	AXL	TK	AXL	NA
AXL	-1.9693095994470635	2	KRSA	0.9565217391304348	1	MERTK	TK	AXL	NA
AXL	-1.9693095994470635	2	KRSA	0.9565217391304348	1	TYRO3	TK	AXL	NA
INSR	1.846891900560679	3	KRSA	0.9130434782608695	1	IGF1R	TK	INSR	NA
INSR	1.846891900560679	3	KRSA	0.9130434782608695	1	INSR	TK	INSR	NA
