Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
AAK1	1	276	KEA3	0	4	AAK1	OTHER	"NAK"	BIKE
ABL1	5.861e-8	35	KEA3	0.8914285714285715	1	ABL1	TK	ABL	NA
ABL2	0.08566666666666667	134	KEA3	0.5942857142857143	2	ABL2	TK	ABL	NA
ACVR1	0.5000000000000244	206	KEA3	0.3514285714285714	3	ACVR1	TKL	STKR	TYPE1
ACVR1B	0.5000000000072	214	KEA3	0.32857142857142857	3	ACVR1B	TKL	STKR	TYPE1
ACVR2B	0.0965	141	KEA3	0.5714285714285714	2	ACVR2B	TKL	STKR	TYPE2
AKT1	2.2653333333333344e-4	65	KEA3	0.8028571428571428	1	AKT1	AGC	AKT	NA
AKT2	0.11866666666666667	156	KEA3	0.5285714285714286	2	AKT2	AGC	AKT	NA
AKT3	1.1e-9	27	KEA3	0.92	1	AKT3	AGC	AKT	NA
ALK	0.04025	112	KEA3	0.6628571428571428	2	ALK	TK	ALK	NA
ARAF	0.0162	102	KEA3	0.6942857142857143	2	ARAF	TKL	RAF	RAF
ATM	0.6666666666666687	248	KEA3	0.19714285714285715	4	ATM	ATYPICAL	PIKK	ATM
ATR	0.6666666666666666	244	KEA3	0.20857142857142857	4	ATR	ATYPICAL	PIKK	ATR
AURKA	0.6666666666667037	251	KEA3	0.18857142857142858	4	AURKA	OTHER	AUR	NA
AURKB	0.073	129	KEA3	0.6085714285714285	2	AURKB	OTHER	AUR	NA
AURKC	1	276	KEA3	0	4	AURKC	OTHER	AUR	NA
AXL	0.03780131	110	KEA3	0.6685714285714286	2	AXL	TK	AXL	NA
BLK	0.5004985	230	KEA3	0.28285714285714286	3	BLK	TK	SRC	SRCB
BMP2K	1	276	KEA3	0	4	BMP2K	OTHER	"NAK"	BIKE
BMPR1A	0.094	139	KEA3	0.58	2	BMPR1A	TKL	STKR	TYPE1
BMPR1B	1	276	KEA3	0	4	BMPR1B	TKL	STKR	TYPE1
BMPR2	0.5000003125	223	KEA3	0.3028571428571429	3	BMPR2	TKL	STKR	TYPE2
BMX	0.10467876666666667	147	KEA3	0.5542857142857143	2	BMX	TK	TEC	NA
BRAF	0.50000061	224	KEA3	0.3	3	BRAF	TKL	RAF	RAF
BRSK1	1	276	KEA3	0	4	BRSK1	CAMK	CAMKL	BRSK
BRSK2	0.0622	123	KEA3	0.6257142857142857	2	BRSK2	CAMK	CAMKL	BRSK
BTK	0.3648666666666667	189	KEA3	0.43142857142857144	3	BTK	TK	TEC	NA
BUB1	0.50199	233	KEA3	0.2742857142857143	3	BUB1	OTHER	BUB	NA
CAMK1	0.6668106666666667	270	KEA3	0.13428571428571429	4	CAMK1	CAMK	CAMK1	NA
CAMK1D	0.5855	241	KEA3	0.25142857142857145	3	CAMK1D	CAMK	CAMK1	NA
CAMK2A	0.448	201	KEA3	0.39714285714285713	3	CAMK2A	CAMK	CAMK2	NA
CAMK2B	0.50000003975	221	KEA3	0.30857142857142855	3	CAMK2B	CAMK	CAMK2	NA
CAMK2D	0.6666666666666666	244	KEA3	0.20857142857142857	4	CAMK2D	CAMK	CAMK2	NA
CAMK2G	3.58e-21	13	KEA3	0.9628571428571429	1	CAMK2G	CAMK	CAMK2	NA
CAMK4	0.4330000000050333	199	KEA3	0.40285714285714286	3	CAMK4	CAMK	CAMK1	NA
CAMKK1	0.6666666666790667	258	KEA3	0.16857142857142857	4	CAMKK1	OTHER	CAMKK	META
CAMKK2	0.50000000000545	213	KEA3	0.3314285714285714	3	CAMKK2	OTHER	CAMKK	META
CDC42BPA	0.127	161	KEA3	0.5142857142857142	2	CDC42BPA	AGC	DMPK	GEK
CDC7	1	276	KEA3	0	4	CDC7	OTHER	CDC7	NA
CDK1	4.8650000000765003e-4	74	KEA3	0.7742857142857142	1	CDK1	CMGC	CDK	CDC2
CDK11A	1	276	KEA3	0	4	CDK11A	NA	NA	NA
CDK12	1	276	KEA3	0	4	CDK12	CMGC	CDK	CRK7
CDK15	5.39e-17	14	KEA3	0.9571428571428572	1	CDK15	CMGC	CDK	PFTAIRE
CDK16	1.06e-37	4	KEA3	0.9885714285714285	1	CDK16	CMGC	CDK	PCTAIRE
CDK18	2.67e-5	51	KEA3	0.8457142857142858	1	CDK18	CMGC	CDK	PCTAIRE
CDK19	1.15e-5	48	KEA3	0.8542857142857143	1	CDK19	CMGC	CDK	CDK8
CDK2	0.12100000000005433	157	KEA3	0.5257142857142857	2	CDK2	CMGC	CDK	CDC2
CDK20	3.24e-6	45	KEA3	0.8628571428571429	1	CDK20	CMGC	CDK	CCRK
CDK3	0.07383333333333338	130	KEA3	0.6057142857142858	2	CDK3	CMGC	CDK	CDC2
CDK4	0.12166666666666667	158	KEA3	0.5228571428571429	2	CDK4	CMGC	CDK	CDK4
CDK5	3.526e-4	70	KEA3	0.7857142857142857	1	CDK5	CMGC	CDK	CDK5
CDK6	0.13320000000002816	165	KEA3	0.5028571428571429	2	CDK6	CMGC	CDK	CDK4
CDK7	0.009333333333333334	95	KEA3	0.7142857142857143	2	CDK7	CMGC	CDK	CDK7
CDK8	0.6174999999999999	243	KEA3	0.24571428571428572	4	CDK8	CMGC	CDK	CDK8
CDK9	0.10800000001343334	149	KEA3	0.5485714285714286	2	CDK9	CMGC	CDK	CDK9
CDKL3	1	276	KEA3	0	4	CDKL3	CMGC	CDKL	NA
CDKL5	0.500000167	222	KEA3	0.3057142857142857	3	CDKL5	CMGC	CDKL	NA
CHEK1	0.012366666666666666	99	KEA3	0.7028571428571428	2	CHEK1	CAMK	CAMKL	CHK1
CHEK2	0.161333333369	172	KEA3	0.48	3	CHEK2	CAMK	RAD53	NA
CHUK	0.12266666666666701	159	KEA3	0.52	2	CHUK	OTHER	IKK	NA
CLK1	0.147	169	KEA3	0.48857142857142855	3	CLK1	CMGC	CLK	NA
CLK2	0.239	179	KEA3	0.46	3	CLK2	CMGC	CLK	NA
CLK3	0.500000000000438	208	KEA3	0.3457142857142857	3	CLK3	CMGC	CLK	NA
CLK4	1	276	KEA3	0	4	CLK4	CMGC	CLK	NA
CSF1R	2.32e-4	66	KEA3	0.7971428571428572	1	CSF1R	TK	PDGFR	NA
CSK	1.8652000000000002e-4	63	KEA3	0.8085714285714286	1	CSK	TK	CSK	NA
CSNK1A1	0.20766666824333332	177	KEA3	0.4657142857142857	3	CSNK1A1	CK1	CK1	CK1-A
CSNK1A1L	0.0252	105	KEA3	0.6857142857142857	2	CSNK1A1L	CK1	CK1	CK1-A
CSNK1D	0.141	168	KEA3	0.4942857142857143	3	CSNK1D	CK1	CK1	CK1-D
CSNK1E	0.152	170	KEA3	0.4857142857142857	3	CSNK1E	CK1	CK1	CK1-D
CSNK1G1	0.50695	234	KEA3	0.2714285714285714	3	CSNK1G1	CK1	CK1	CK1-G
CSNK1G2	0.04825000000000025	117	KEA3	0.6457142857142857	2	CSNK1G2	CK1	CK1	CK1-G
CSNK1G3	2.03e-16	15	KEA3	0.9542857142857143	1	CSNK1G3	CK1	CK1	CK1-G
CSNK2A1	0.011033333333333334	96	KEA3	0.7114285714285714	2	CSNK2A1	CMGC	CK2	NA
CSNK2A2	0.11786666666666668	155	KEA3	0.5314285714285715	2	CSNK2A2	CMGC	CK2	NA
DAPK1	0.6666666669703334	261	KEA3	0.16	4	DAPK1	CAMK	DAPK	DAPK
DAPK3	0.7006666666666667	273	KEA3	0.12571428571428572	4	DAPK3	CAMK	DAPK	DAPK
DCLK1	1.19e-10	25	KEA3	0.9257142857142857	1	DCLK1	CAMK	DCAMKL	NA
DDR1	0.50000000000076	211	KEA3	0.33714285714285713	3	DDR1	TK	DDR	NA
DDR2	3.37e-44	3	KEA3	0.9914285714285714	1	DDR2	TK	DDR	NA
DMPK	3.94e-10	26	KEA3	0.9228571428571428	1	DMPK	AGC	DMPK	GEK
DYRK1A	0.66666666666781	254	KEA3	0.18	4	DYRK1A	CMGC	DYRK	DYRK1
DYRK1B	0.6666666666666666	244	KEA3	0.20857142857142857	4	DYRK1B	CMGC	DYRK	DYRK1
DYRK2	0.17266666666666666	174	KEA3	0.4742857142857143	3	DYRK2	CMGC	DYRK	DYRK2
DYRK3	0.500455	229	KEA3	0.2857142857142857	3	DYRK3	CMGC	DYRK	DYRK2
DYRK4	0.2075	176	KEA3	0.4685714285714286	3	DYRK4	CMGC	DYRK	DYRK2
EEF2K	0.50002045	228	KEA3	0.2885714285714286	3	EEF2K	ATYPICAL	ALPHA	EEF2K
EGFR	1.7343e-7	39	KEA3	0.88	1	EGFR	TK	EGFR	NA
EIF2AK1	1	276	KEA3	0	4	EIF2AK1	OTHER	PEK	HRI
EIF2AK2	0.06956666666666667	127	KEA3	0.6142857142857143	2	EIF2AK2	OTHER	PEK	PKR
EIF2AK3	1	276	KEA3	0	4	EIF2AK3	OTHER	PEK	PEK
EPHA2	1.76e-8	33	KEA3	0.8971428571428571	1	EPHA2	TK	EPH	NA
EPHA3	0.113	153	KEA3	0.5371428571428571	2	EPHA3	TK	EPH	NA
EPHA4	0.0299	107	KEA3	0.6771428571428572	2	EPHA4	TK	EPH	NA
EPHA8	1	276	KEA3	0	4	EPHA8	TK	EPH	NA
EPHB1	4.78e-4	72	KEA3	0.78	1	EPHB1	TK	EPH	NA
EPHB2	2.18e-6	44	KEA3	0.8657142857142858	1	EPHB2	TK	EPH	NA
EPHB3	7.48e-34	7	KEA3	0.98	1	EPHB3	TK	EPH	NA
ERBB2	1.27e-5	49	KEA3	0.8514285714285714	1	ERBB2	TK	EGFR	NA
ERBB4	1.76e-8	33	KEA3	0.8971428571428571	1	ERBB4	TK	EGFR	NA
FASTK	0.048250000000002145	118	KEA3	0.6428571428571429	2	FASTK	ATYPICAL	FAST	NA
FER	0.001285	81	KEA3	0.7542857142857143	1	FER	TK	FER	NA
FES	7.29e-24	9	KEA3	0.9742857142857143	1	FES	TK	FER	NA
FGFR1	0.1095	151	KEA3	0.5428571428571428	2	FGFR1	TK	FGFR	NA
FGFR2	0.1325	164	KEA3	0.5057142857142857	2	FGFR2	TK	FGFR	NA
FGFR3	4.865e-4	73	KEA3	0.7771428571428571	1	FGFR3	TK	FGFR	NA
FGFR4	0.147	169	KEA3	0.48857142857142855	3	FGFR4	TK	FGFR	NA
FGR	0.0233	103	KEA3	0.6914285714285714	2	FGR	TK	SRC	SRCA
FLT1	1.06e-11	21	KEA3	0.9371428571428572	1	FLT1	TK	VEGFR	NA
FLT3	1.87e-47	2	KEA3	0.9942857142857143	1	FLT3	TK	PDGFR	NA
FLT4	2.36e-21	12	KEA3	0.9657142857142857	1	FLT4	TK	VEGFR	NA
FRK	0.094000000000012	140	KEA3	0.5771428571428572	2	FRK	TK	SRC	FRK
FYN	9.818666666666667e-7	42	KEA3	0.8714285714285714	1	FYN	TK	SRC	SRCA
GRK1	1	276	KEA3	0	4	GRK1	AGC	GRK	GRK
GRK2	0.057833333333333334	119	KEA3	0.64	2	GRK2	AGC	GRK	BARK
GRK3	1	276	KEA3	0	4	GRK3	AGC	GRK	BARK
GRK5	0.6666666666666738	249	KEA3	0.19428571428571428	4	GRK5	AGC	GRK	GRK
GRK6	0.6666666666666666	244	KEA3	0.20857142857142857	4	GRK6	AGC	GRK	GRK
GSK3A	0.08390000000000004	133	KEA3	0.5971428571428572	2	GSK3A	CMGC	GSK	NA
GSK3B	0.0869	136	KEA3	0.5885714285714285	2	GSK3B	CMGC	GSK	NA
HASPIN	1	276	KEA3	0	4	HASPIN	OTHER	HASPIN	NA
HCK	0.08003333333333333	131	KEA3	0.6028571428571429	2	HCK	TK	SRC	SRCB
HIPK1	0.5	203	KEA3	0.3628571428571429	3	HIPK1	CMGC	DYRK	HIPK
HIPK2	0.66666704	266	KEA3	0.1457142857142857	4	HIPK2	CMGC	DYRK	HIPK
HIPK3	1	276	KEA3	0	4	HIPK3	CMGC	DYRK	HIPK
HIPK4	0.500000000000406	207	KEA3	0.3485714285714286	3	HIPK4	CMGC	DYRK	HIPK
ICK	0.131	162	KEA3	0.5114285714285715	2	CILK1	CMGC	RCK	NA
IGF1R	0.06236666666666667	124	KEA3	0.6228571428571429	2	IGF1R	TK	INSR	NA
IKBKB	0.6666666666666666	244	KEA3	0.20857142857142857	4	IKBKB	OTHER	IKK	NA
IKBKE	0.37766666666667836	192	KEA3	0.4228571428571429	3	IKBKE	OTHER	IKK	NA
ILK	0.396000000083	195	KEA3	0.4142857142857143	3	ILK	TKL	MLK	ILK
INSR	0.002181	83	KEA3	0.7485714285714286	2	INSR	TK	INSR	NA
IRAK1	0.5	203	KEA3	0.3628571428571429	3	IRAK1	TKL	IRAK	NA
IRAK3	1	276	KEA3	0	4	IRAK3	TKL	IRAK	NA
IRAK4	0.00483	88	KEA3	0.7342857142857143	2	IRAK4	TKL	IRAK	NA
ITK	9.903333333333333e-5	60	KEA3	0.8171428571428572	1	ITK	TK	TEC	NA
JAK1	0.5	203	KEA3	0.3628571428571429	3	JAK1	TK	JAKA	NA
JAK2	0.0017366666666666667	82	KEA3	0.7514285714285714	1	JAK2	TK	JAKA	NA
JAK3	0.33454333333333336	182	KEA3	0.4514285714285714	3	JAK3	TK	JAKA	NA
KDR	5.38e-11	22	KEA3	0.9342857142857143	1	KDR	TK	VEGFR	NA
KIT	4.74e-35	6	KEA3	0.9828571428571429	1	KIT	TK	PDGFR	NA
KSR1	6.07e-11	23	KEA3	0.9314285714285714	1	KSR1	TKL	RAF	KSR
KSR2	2.82e-9	30	KEA3	0.9114285714285715	1	KSR2	TKL	RAF	KSR
LATS1	0.4899	202	KEA3	0.3942857142857143	3	LATS1	AGC	NDR	NA
LATS2	0.5	203	KEA3	0.3628571428571429	3	LATS2	AGC	NDR	NA
LCK	1.7736666666666666e-7	40	KEA3	0.8771428571428571	1	LCK	TK	SRC	SRCB
LIMK1	3.36e-4	68	KEA3	0.7914285714285715	1	LIMK1	TKL	LISK	LIMK
LIMK2	0.061	122	KEA3	0.6314285714285715	2	LIMK2	TKL	LISK	LIMK
LRRK2	0.50000000000101	212	KEA3	0.3342857142857143	3	LRRK2	TKL	LRRK	NA
LYN	0.02470666666666667	104	KEA3	0.6885714285714286	2	LYN	TK	SRC	SRCB
MAK	5.39e-17	14	KEA3	0.9571428571428572	1	MAK	CMGC	RCK	NA
MAP2K1	3.30666666666709e-5	54	KEA3	0.8371428571428572	1	MAP2K1	STE	STE7	MEK1
MAP2K2	8.750000000003355e-4	78	KEA3	0.7628571428571429	1	MAP2K2	STE	STE7	MEK1
MAP2K3	1.76e-9	29	KEA3	0.9142857142857143	1	MAP2K3	STE	STE7	MEK3
MAP2K4	0.004990000004633333	89	KEA3	0.7314285714285714	2	MAP2K4	STE	STE7	MEK4
MAP2K6	0.06050000000000096	121	KEA3	0.6342857142857142	2	MAP2K6	STE	STE7	MEK3
MAP2K7	0.10050000000111001	146	KEA3	0.5571428571428572	2	MAP2K7	STE	STE7	MEK7
MAP3K1	0.00316	85	KEA3	0.7428571428571429	2	MAP3K1	STE	STE11	MEKK1
MAP3K10	5.27e-5	57	KEA3	0.8257142857142857	1	MAP3K10	TKL	MLK	MLK
MAP3K11	0.6666666955	265	KEA3	0.14857142857142858	4	MAP3K11	TKL	MLK	MLK
MAP3K13	0.50000002255	220	KEA3	0.31142857142857144	3	MAP3K13	TKL	MLK	LZK
MAP3K14	0.6666678666666667	268	KEA3	0.14	4	MAP3K14	STE	STE-UNIQUE	NA
MAP3K20	1	276	KEA3	0	4	MAP3K20	TKL	MLK	ZAK
MAP3K3	1.69e-4	62	KEA3	0.8114285714285714	1	MAP3K3	STE	STE11	MEKK2
MAP3K4	0.0622	123	KEA3	0.6257142857142857	2	MAP3K4	STE	STE11	MEKK4
MAP3K5	0.0031766666811	86	KEA3	0.74	2	MAP3K5	STE	STE11	ASK
MAP3K6	2.57e-7	41	KEA3	0.8742857142857143	1	MAP3K6	STE	STE11	ASK
MAP3K7	0.4366666666666681	200	KEA3	0.4	3	MAP3K7	TKL	MLK	TAK1
MAP3K8	0.11700002535000001	154	KEA3	0.5342857142857143	2	MAP3K8	STE	STE-UNIQUE	NA
MAP4K1	1.81e-15	18	KEA3	0.9457142857142857	1	MAP4K1	STE	STE20	KHS
MAP4K2	0.50000089	225	KEA3	0.29714285714285715	3	MAP4K2	STE	STE20	KHS
MAP4K3	6.65e-5	58	KEA3	0.8228571428571428	1	MAP4K3	STE	STE20	KHS
MAP4K4	8.06e-4	77	KEA3	0.7657142857142857	1	MAP4K4	STE	STE20	MSN
MAP4K5	0.5	203	KEA3	0.3628571428571429	3	MAP4K5	STE	STE20	KHS
MAPK1	3.4173333333333336e-4	69	KEA3	0.7885714285714286	1	MAPK1	CMGC	MAPK	ERK1
MAPK10	0.416	197	KEA3	0.4085714285714286	3	MAPK10	CMGC	MAPK	JNK
MAPK11	0.11133333333333334	152	KEA3	0.54	2	MAPK11	CMGC	MAPK	P38
MAPK12	0.3601666666666667	187	KEA3	0.43714285714285717	3	MAPK12	CMGC	MAPK	P38
MAPK13	0.6666666673966667	262	KEA3	0.15714285714285714	4	MAPK13	CMGC	MAPK	P38
