Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
AAK1	0.0692	122	KEA3	0.6257142857142857	2	AAK1	OTHER	"NAK"	BIKE
ABL1	2.2733333333333335e-5	49	KEA3	0.8514285714285714	1	ABL1	TK	ABL	NA
ABL2	0.08833333333333333	131	KEA3	0.5971428571428572	2	ABL2	TK	ABL	NA
ACVR1	0.5000000000001515	196	KEA3	0.3742857142857143	3	ACVR1	TKL	STKR	TYPE1
ACVR1B	0.5000000000051	199	KEA3	0.3657142857142857	3	ACVR1B	TKL	STKR	TYPE1
ACVR2B	0.086	129	KEA3	0.6028571428571429	2	ACVR2B	TKL	STKR	TYPE2
AKT1	0.0010273333333333334	77	KEA3	0.7657142857142857	1	AKT1	AGC	AKT	NA
AKT2	0.6666666666666666	230	KEA3	0.23142857142857143	4	AKT2	AGC	AKT	NA
AKT3	2.49e-8	31	KEA3	0.9057142857142857	1	AKT3	AGC	AKT	NA
ALK	0.0449	117	KEA3	0.6457142857142857	2	ALK	TK	ALK	NA
ARAF	0.01435	100	KEA3	0.7	2	ARAF	TKL	RAF	RAF
ATM	0.6666666666666702	232	KEA3	0.2257142857142857	4	ATM	ATYPICAL	PIKK	ATM
ATR	0.2823333333333333	171	KEA3	0.48	3	ATR	ATYPICAL	PIKK	ATR
AURKA	0.6666666666668026	237	KEA3	0.21142857142857144	4	AURKA	OTHER	AUR	NA
AURKB	0.3433333333333333	177	KEA3	0.46285714285714286	3	AURKB	OTHER	AUR	NA
AURKC	1	267	KEA3	0	4	AURKC	OTHER	AUR	NA
AXL	0.036750945	109	KEA3	0.6685714285714286	2	AXL	TK	AXL	NA
BLK	0.500464	216	KEA3	0.3171428571428571	3	BLK	TK	SRC	SRCB
BMP2K	1	267	KEA3	0	4	BMP2K	OTHER	"NAK"	BIKE
BMPR1A	0.0895	132	KEA3	0.5942857142857143	2	BMPR1A	TKL	STKR	TYPE1
BMPR1B	1	267	KEA3	0	4	BMPR1B	TKL	STKR	TYPE1
BMPR2	0.5000002595	209	KEA3	0.33714285714285713	3	BMPR2	TKL	STKR	TYPE2
BMX	0.11101146666666667	144	KEA3	0.56	2	BMX	TK	TEC	NA
BRAF	0.5000163	213	KEA3	0.32571428571428573	3	BRAF	TKL	RAF	RAF
BRSK1	1	267	KEA3	0	4	BRSK1	CAMK	CAMKL	BRSK
BRSK2	0.0607	119	KEA3	0.6371428571428571	2	BRSK2	CAMK	CAMKL	BRSK
BTK	0.17266666666666666	161	KEA3	0.5085714285714286	2	BTK	TK	TEC	NA
BUB1	0.52795	224	KEA3	0.29428571428571426	3	BUB1	OTHER	BUB	NA
CAMK1	0.666793	261	KEA3	0.14285714285714285	4	CAMK1	CAMK	CAMK1	NA
