Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
AAK1	1	261	KEA3	0	4	AAK1	OTHER	"NAK"	BIKE
ABL1	0.003711466666666667	36	KEA3	0.9	1	ABL1	TK	ABL	NA
ABL2	0.6725333333333333	253	KEA3	0.2542857142857143	3	ABL2	TK	ABL	NA
ACVR1	0.500046	163	KEA3	0.5257142857142857	2	ACVR1	TKL	STKR	TYPE1
ACVR1B	0.5093	194	KEA3	0.42857142857142855	3	ACVR1B	TKL	STKR	TYPE1
ACVR2B	1	261	KEA3	0	4	ACVR2B	TKL	STKR	TYPE2
AKT1	2.8786666666666665e-4	17	KEA3	0.9542857142857143	1	AKT1	AGC	AKT	NA
AKT2	0.08400204	95	KEA3	0.72	2	AKT2	AGC	AKT	NA
AKT3	1.81e-4	12	KEA3	0.9685714285714285	1	AKT3	AGC	AKT	NA
ALK	0.028303975	64	KEA3	0.8114285714285714	1	ALK	TK	ALK	NA
ARAF	0.11175	111	KEA3	0.6742857142857143	2	ARAF	TKL	RAF	RAF
ATM	0.33553333333333335	141	KEA3	0.5885714285714285	2	ATM	ATYPICAL	PIKK	ATM
ATR	0.205391	134	KEA3	0.6085714285714285	2	ATR	ATYPICAL	PIKK	ATR
AURKA	2.3459666666666667e-4	15	KEA3	0.96	1	AURKA	OTHER	AUR	NA
AURKB	3.776333333333333e-4	19	KEA3	0.9485714285714286	1	AURKB	OTHER	AUR	NA
AURKC	1	261	KEA3	0	4	AURKC	OTHER	AUR	NA
AXL	1	261	KEA3	0	4	AXL	TK	AXL	NA
BLK	1	261	KEA3	0	4	BLK	TK	SRC	SRCB
BMP2K	1	261	KEA3	0	4	BMP2K	OTHER	"NAK"	BIKE
BMPR1A	0.50121	184	KEA3	0.46	3	BMPR1A	TKL	STKR	TYPE1
BMPR1B	1	261	KEA3	0	4	BMPR1B	TKL	STKR	TYPE1
BMPR2	0.51265	197	KEA3	0.41714285714285715	3	BMPR2	TKL	STKR	TYPE2
BMX	0.6669933333333333	242	KEA3	0.2857142857142857	3	BMX	TK	TEC	NA
BRAF	0.1013	103	KEA3	0.6971428571428572	2	BRAF	TKL	RAF	RAF
BRSK1	0.37333333333333335	152	KEA3	0.5571428571428572	2	BRSK1	CAMK	CAMKL	BRSK
BRSK2	0.0551	79	KEA3	0.7657142857142857	1	BRSK2	CAMK	CAMKL	BRSK
BTK	0.3542867333333333	145	KEA3	0.5771428571428572	2	BTK	TK	TEC	NA
BUB1	0.5494	213	KEA3	0.37142857142857144	3	BUB1	OTHER	BUB	NA
