chip	group	family	subfamily	kinase	uniprot	ensembl	hgnc_symbol	human_mean_final_score	mouse_mean_final_score
stk	AGC	PKC	PKCd	PKC[delta]	Q05655	ENSG00000163932	PRKCD	4	3.014059826
stk	AGC	PKC	PKCa	PKC[alpha]	P17252	ENSG00000154229	PRKCA	3.91353875	2.137427802
stk	AGC	PKA	0	PKA[alpha]	P17612	ENSG00000072062	PRKACA	3.91353875	3.799313336
stk	AGC	PKC	PKCh	PKC[eta]	P24723	ENSG00000027075	PRKCH	3.538444701	1.618616262
stk	AGC	PKC	PKCd	PKC[theta]	Q04759	ENSG00000065675	PRKCQ	3.509596111	1.741552826
stk	AGC	PKC	PKCa	PKC[gamma]	P05129	ENSG00000126583	PRKCG	3.485921131	1.567114038
stk	AGC	PKC	PKCa	PKC[beta]	P05771	ENSG00000166501	PRKCB	3.476148334	1.761798887
stk	AGC	PKG	0	PKG1	Q13976	ENSG00000185532	PRKG1	3.462238335	3.164964264
stk	AGC	PKC	PKCh	PKC[epsilon]	Q02156	ENSG00000171132	PRKCE	2.951996733	1.389163034
stk	AGC	PKC	PKCi	PKC[zeta]	Q05513	ENSG00000067606	PRKCZ	2.585707132	1.232602408
stk	AGC	PKC	PKCi	PKC[iota]	P41743	ENSG00000163558	PRKCI	2.513751435	1.209884438
stk	AGC	SGK	0	SGK2	Q9HBY8	ENSG00000101049	SGK2	2.396911192	1.625252668
stk	AGC	DMPK	ROCK	ROCK2	O75116	ENSG00000134318	ROCK2	2.295316057	1.201448106
stk	AGC	PKG	0	PKG2	Q13237	ENSG00000138669	PRKG2	2.268142365	3.523478193
stk	AGC	PKA	0	PRKX	P51817	ENSG00000183943	PRKX	2.163160768	3.207743781
stk	AGC	Akt	0	Akt2/PKB[beta]	P31751	ENSG00000105221	AKT2	1.96277925	1.690559268
stk	AGC	RSK	RSKp70	p70S6K[beta]	Q9UBS0	ENSG00000175634	RPS6KB2	1.937432519	1.763253738
stk	AGC	Akt	0	Akt1/PKB[alpha]	P31749	ENSG00000142208	AKT1	1.814782242	1.489898757
stk	AGC	RSK	RSKp90	RSK1/p90RSK	Q15349	ENSG00000071242	RPS6KA2	1.764156108	1.34421258
stk	AGC	RSK	RSKp90	RSK2	P51812	ENSG00000177189	RPS6KA3	1.61880889	1.462401105
stk	AGC	RSK	RSKp70	p70S6K	P23443	ENSG00000108443	RPS6KB1	1.511966321	1.110430028
stk	AGC	RSK	MSK	MSK1	O75582	ENSG00000100784	RPS6KA5	1.481987394	1.193168848
stk	AGC	RSK	RSKp90	RSK3	Q15418	ENSG00000117676	RPS6KA1	1.475885693	1.163721579
stk	AGC	DMPK	ROCK	ROCK1	Q13464	ENSG00000067900	ROCK1	1.437934354	1.150605151
stk	AGC	RSK	MSK	MSK2	O75676	ENSG00000162302	RPS6KA4	1.404108265	1.228555527
stk	AGC	PKN	0	PKN1/PRK1	Q16512	ENSG00000123143	PKN1	1.229509834	1.315865852
stk	AGC	PKA	0	PRKY	O43930	ENSG00000099725	PRKY	1.199764306	1.342694632
stk	AGC	RSKL	0	RSKL2	Q9Y6S9	ENSG00000198208	RPS6KL1	0.917226897	0.562062449
stk	Atypical	ABC1	ABC1-A	ADCK3	Q8NI60	ENSG00000163050	COQ8A	1.479309272	1.13968148
stk	Atypical	PIKK	ATR	ATR	Q13535	ENSG00000175054	ATR	1.369020585	1.477063355
stk	Atypical	PIKK	FRAP	mTOR/FRAP	P42345	ENSG00000198793	MTOR	1.214091314	1.058162812
stk	CAMK	PIM	0	Pim2	Q9P1W9	ENSG00000102096	PIM2	2.52434483	2.487598318
stk	CAMK	PIM	0	Pim1	P11309	ENSG00000137193	PIM1	2.301321655	1.794066041
stk	CAMK	DAPK	0	DAPK2	Q9UIK4	ENSG00000035664	DAPK2	2.275046756	1.367089948
stk	CAMK	PIM	0	Pim3	Q86V86	ENSG00000198355	PIM3	1.982334242	1.631030388
stk	CAMK	CAMKL	AMPK	AMPK[alpha]1	Q13131	ENSG00000132356	PRKAA1	1.800435314	1.442811439
stk	CAMK	CAMK1	0	CaMK4	Q16566	ENSG00000152495	CAMK4	1.649171842	2.096497769
stk	CAMK	CAMKL	NuaK	NuaK1	O60285	ENSG00000074590	NUAK1	1.370129316	1.160504632
stk	CAMK	PKD	0	PKD1	Q15139	ENSG00000184304	PRKD1	1.226705284	2.177649878
stk	CAMK	DAPK	0	DAPK3	O43293	ENSG00000167657	DAPK3	1.118615343	1.083019953
stk	CAMK	CAMKL	CHK1	CHK1	O14757	ENSG00000149554	CHEK1	1.097816469	1.209869889
stk	CAMK	RAD53	0	CHK2	O96017	ENSG00000183765	CHEK2	1.060139155	1.444237432
stk	CAMK	MAPKAPK	MK2	MAPKAPK2	P49137	ENSG00000162889	MAPKAPK2	1.047347264	1.119406857
stk	CAMK	MAPKAPK	MK2	MAPKAPK3	Q16644	ENSG00000114738	MAPKAPK3	1.046333808	1.115529025
stk	CK1	CK1	0	CK1[epsilon]	P49674	ENSG00000213923	CSNK1E	1.468521083	1.756961951
stk	CK1	CK1	0	CK1[alpha]	P48729	ENSG00000113712	CSNK1A1	1.199312263	1.108001549
