name	collapsed
ABL1	ABL*
ABL2	ABL*
AFDN	AFDN
AKT1	AKT*
AKT2	AKT*
AKT3	AKT*
ANGPT1	ANGPT*
ANGPT2	ANGPT*
ANGPT4	ANGPT*
ARAF	ARAF
AREG	AREG
ARF6	ARF6
ARRB1	ARRB*
ARRB2	ARRB*
ATF2	ATF*
ATF4	ATF*
ATF6B	ATF*
AXL	AXL
BAD	BAD
BAX	BAX
BCL2	BCL2*
BCL2L1	BCL2*
BCL2L11	BCL2*
BDNF	BDNF
BRAF	BRAF
BRAP	BRAP
BRCA1	BRCA1
BUB1B-PAK6	BUB1B-PAK6
C8orf44-SGK3	C8orf44-SGK3
CACNA1A	CACNA1*
CACNA1B	CACNA1*
CACNA1C	CACNA1*
CACNA1D	CACNA1*
CACNA1E	CACNA1*
CACNA1F	CACNA1*
CACNA1G	CACNA1*
CACNA1H	CACNA1*
CACNA1I	CACNA1*
CACNA1S	CACNA1*
CACNA2D1	CACNA2D*
CACNA2D2	CACNA2D*
CACNA2D3	CACNA2D*
CACNA2D4	CACNA2D*
CACNB1	CACNB*
CACNB2	CACNB*
CACNB3	CACNB*
CACNB4	CACNB*
CACNG1	CACNG*
CACNG2	CACNG*
CACNG3	CACNG*
CACNG4	CACNG*
CACNG5	CACNG*
CACNG6	CACNG*
CACNG7	CACNG*
CACNG8	CACNG*
CALM1	CALM*
CALM2	CALM*
CALM3	CALM*
CALML3	CALML*
CALML4	CALML*
CALML5	CALML*
CALML6	CALML*
CASP3	CASP*
CASP9	CASP*
CCND1	CCND*
CCND2	CCND*
CCND3	CCND*
CCNE1	CCNE*
CCNE2	CCNE*
CD14	CD14
CD19	CD19
CDC25B	CDC*
CDC37	CDC*
CDC42	CDC*
CDK2	CDK*
CDK4	CDK*
CDK6	CDK*
CDKN1A	CDKN1*
CDKN1B	CDKN1*
CHAD	CHAD
CHRM1	CHRM*
CHRM2	CHRM*
CHUK	CHUK
COL1A1	COL1A*
COL1A2	COL1A*
COL2A1	COL2A1
COL4A1	COL4A*
COL4A2	COL4A*
COL4A3	COL4A*
COL4A4	COL4A*
COL4A5	COL4A*
COL4A6	COL4A*
COL6A1	COL6A*
COL6A2	COL6A*
COL6A3	COL6A*
COL6A5	COL6A*
COL6A6	COL6A*
COL9A1	COL9A*
COL9A2	COL9A*
COL9A3	COL9A*
COMP	COMP
