Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
HCK	3.13757324550321	1	UKA	1	1	HCK	TK	SRC	SRCB
LCK	3.0585343859115	2	UKA	0.9855072463768116	1	LCK	TK	SRC	SRCB
BLK	2.79354921564105	3	UKA	0.9710144927536232	1	BLK	TK	SRC	SRCB
SYK	2.64514114584764	4	UKA	0.9565217391304348	1	SYK	TK	SYK	NA
SRC	2.46643498676621	5	UKA	0.9420289855072463	1	SRC	TK	SRC	SRCA
PDGFR[ALPHA]	2.31155051143023	6	UKA	0.927536231884058	1	PDGFRA	TK	PDGFR	NA
YES	2.27151511197534	7	UKA	0.9130434782608695	1	YES1	TK	SRC	SRCA
LYN	2.10233970975408	9	UKA	0.8840579710144928	1	LYN	TK	SRC	SRCB
FYN	2.05488403166768	10	UKA	0.8695652173913043	1	FYN	TK	SRC	SRCA
FRK	1.93092367440717	12	UKA	0.8405797101449275	1	FRK	TK	SRC	FRK
CTK	2.24452740789574	8	UKA	0.8985507246376812	1	MATK	TK	CSK	NA
EPHA2	1.84977806980399	13	UKA	0.8260869565217391	1	EPHA2	TK	EPH	NA
PDGFR[BETA]	1.94285840140773	11	UKA	0.855072463768116	1	PDGFRB	TK	PDGFR	NA
ABL	1.79292582951916	14	UKA	0.8115942028985508	1	ABL1	TK	ABL	NA
RON	1.72941381846061	16	UKA	0.782608695652174	1	MST1R	TK	MET	NA
EPHA3	1.69303154377674	17	UKA	0.7681159420289855	1	EPHA3	TK	EPH	NA
ZAP70	1.63114272208885	18	UKA	0.7536231884057971	1	ZAP70	TK	SYK	NA
IRR	1.54287577484488	20	UKA	0.7246376811594203	2	INSRR	TK	INSR	NA
IGF1R	1.57979469728621	19	UKA	0.7391304347826086	2	IGF1R	TK	INSR	NA
FAK2	1.43315346713676	24	UKA	0.6666666666666666	2	PTK2B	TK	FAK	NA
ARG	1.75146317560541	15	UKA	0.7971014492753623	1	ABL2	TK	ABL	NA
EPHA4	1.45193486108417	21	UKA	0.7101449275362319	2	EPHA4	TK	EPH	NA
EPHA5	1.40670717219184	25	UKA	0.6521739130434783	2	EPHA5	TK	EPH	NA
EPHA1	1.34214813890914	30	UKA	0.5797101449275363	2	EPHA1	TK	EPH	NA
DDR1	1.38774023837414	28	UKA	0.6086956521739131	2	DDR1	TK	DDR	NA
FES	1.43634301368733	23	UKA	0.6811594202898551	2	FES	TK	FER	NA
INSR	1.3953439690553	26	UKA	0.6376811594202898	2	INSR	TK	INSR	NA
TRKA	1.38978066761852	27	UKA	0.6231884057971014	2	NTRK1	TK	TRK	NA
JAK2	1.31097966038888	31	UKA	0.5652173913043478	2	JAK2	TK	JAKA	NA
TRKC	1.35189778740804	29	UKA	0.5942028985507246	2	NTRK3	TK	TRK	NA
FGR	1.43714341803384	22	UKA	0.6956521739130435	2	FGR	TK	SRC	SRCA
SRM	1.27517546617621	34	UKA	0.5217391304347826	2	SRMS	TK	SRC	SRM
LTK	1.2778074138969	33	UKA	0.5362318840579711	2	LTK	TK	ALK	NA
FMS/CSFR	1.23157299731775	38	UKA	0.463768115942029	3	CSF1R	TK	PDGFR	NA
FAK1	1.23241946912271	37	UKA	0.4782608695652174	3	PTK2	TK	FAK	NA
RYK	1.24544584518243	35	UKA	0.5072463768115942	2	RYK	TK	RYK	NA
FGFR1	1.21575957026498	42	UKA	0.4057971014492754	3	FGFR1	TK	FGFR	NA
TEC	1.21584635544771	41	UKA	0.42028985507246375	3	TEC	TK	TEC	NA
MER	1.22777491574524	39	UKA	0.4492753623188406	3	MERTK	TK	AXL	NA
ETK/BMX	1.29469714884858	32	UKA	0.5507246376811594	2	BMX	TK	TEC	NA
FGFR4	1.19273739604123	46	UKA	0.34782608695652173	3	FGFR4	TK	FGFR	NA
TRKB	1.22161188530761	40	UKA	0.43478260869565216	3	NTRK2	TK	TRK	NA
BRK	1.2131622646692	43	UKA	0.391304347826087	3	PTK6	TK	SRC	SRM
CSK	1.18704778572815	47	UKA	0.3333333333333333	3	CSK	TK	CSK	NA
EPHB1	1.1726542902082	49	UKA	0.30434782608695654	3	EPHB1	TK	EPH	NA
EPHB3	1.1681302257195	50	UKA	0.2898550724637681	3	EPHB3	TK	EPH	NA
KIT	1.1832741123769	48	UKA	0.3188405797101449	3	KIT	TK	PDGFR	NA
FER	1.13782456867064	52	UKA	0.2608695652173913	3	FER	TK	FER	NA
RET	1.20583308942873	45	UKA	0.36231884057971014	3	RET	TK	RET	NA
TYRO3/SKY	1.15414896016142	51	UKA	0.2753623188405797	3	TYRO3	TK	AXL	NA
EPHA8	1.04463564461697	63	UKA	0.10144927536231885	4	EPHA8	TK	EPH	NA
MET	1.20713115784739	44	UKA	0.37681159420289856	3	MET	TK	MET	NA
LMR1	1.09188855287739	55	UKA	0.21739130434782608	4	AATK	TK	LMR	NA
KDR	1.09596944666559	54	UKA	0.2318840579710145	4	KDR	TK	VEGFR	NA
HER3	1.08879251438846	57	UKA	0.18840579710144928	4	ERBB3	TK	EGFR	NA
HER4	1.12335646621421	53	UKA	0.2463768115942029	4	ERBB4	TK	EGFR	NA
AXL	1.23713718600905	36	UKA	0.4927536231884058	3	AXL	TK	AXL	NA
FLT4	1.07518777780672	59	UKA	0.15942028985507245	4	FLT4	TK	VEGFR	NA
ALK	1.0581401604802	60	UKA	0.14492753623188406	4	ALK	TK	ALK	NA
FGFR2	1.09176483731434	56	UKA	0.2028985507246377	4	FGFR2	TK	FGFR	NA
FGFR3	1.07822296425258	58	UKA	0.17391304347826086	4	FGFR3	TK	FGFR	NA
CCK4/PTK7	1.04559197225742	62	UKA	0.11594202898550725	4	PTK7	TK	CCK4	NA
ITK	1.05054435903098	61	UKA	0.13043478260869565	4	ITK	TK	TEC	NA
TXK	1.02364620794384	65	UKA	0.07246376811594203	4	TXK	TK	TEC	NA
HER2	1.01767592564624	66	UKA	0.057971014492753624	4	ERBB2	TK	EGFR	NA
BTK	1.03123177239387	64	UKA	0.08695652173913043	4	BTK	TK	TEC	NA
FLT1	1.01346183077959	67	UKA	0.043478260869565216	4	FLT1	TK	VEGFR	NA
EGFR	1.01101386254671	68	UKA	0.028985507246376812	4	EGFR	TK	EGFR	NA
FLT3	0.964262880389212	69	UKA	0.014492753623188406	4	FLT3	TK	PDGFR	NA
INSR	2.8842523296852103	1	KRSA	1	1	IGF1R	TK	INSR	NA
INSR	2.8842523296852103	1	KRSA	1	1	INSR	TK	INSR	NA
INSR	2.8842523296852103	1	KRSA	1	1	INSRR	TK	INSR	NA
DDR	2.8387419722066367	2	KRSA	0.9565217391304348	1	DDR1	TK	DDR	NA
