Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
PKA[ALPHA]	3.79931333622401	1	UKA	1	1	PRKACA	AGC	PKA	NA
PRKX	3.20774378080459	3	UKA	0.9770114942528736	1	PRKX	AGC	PKA	NA
PKG2	3.52347819326775	2	UKA	0.9885057471264368	1	PRKG2	AGC	PKG	NA
PKC[DELTA]	3.01405982639588	5	UKA	0.9540229885057471	1	PRKCD	AGC	PKC	DELTA
PIM2	2.48759831818775	6	UKA	0.9425287356321839	1	PIM2	CAMK	PIM	NA
PKG1	3.16496426433273	4	UKA	0.9655172413793104	1	PRKG1	AGC	PKG	NA
PKD1	2.17764987816439	7	UKA	0.9310344827586207	1	PRKD1	CAMK	PKD	NA
CAMK4	2.09649776882671	9	UKA	0.9080459770114943	1	CAMK4	CAMK	CAMK1	NA
CAMK4	2.09649776882671	9	UKA	0.9080459770114943	1	CAMKK1	OTHER	CAMKK	META
PKC[ALPHA]	2.13742780238495	8	UKA	0.9195402298850575	1	PRKCA	AGC	PKC	ALPHA
PKC[THETA]	1.74155282639946	14	UKA	0.8505747126436781	1	PRKCQ	AGC	PKC	DELTA
PIM1	1.79406604066998	10	UKA	0.896551724137931	1	PIM1	CAMK	PIM	NA
CK1[EPSILON]	1.75696195131371	13	UKA	0.8620689655172413	1	CSNK1E	CK1	CK1	CK1-D
PKC[BETA]	1.76179888655349	12	UKA	0.8735632183908046	1	PRKCB	AGC	PKC	ALPHA
AKT2/PKB[BETA]	1.69055926777076	15	UKA	0.8390804597701149	1	AKT2	AGC	AKT	NA
P70S6K[BETA]	1.76325373808162	11	UKA	0.8850574712643678	1	RPS6KB2	AGC	RSK	P70
PKC[ETA]	1.61861626199493	18	UKA	0.8045977011494253	1	PRKCH	AGC	PKC	ETA
PKC[GAMMA]	1.56711403797567	19	UKA	0.7931034482758621	1	PRKCG	AGC	PKC	ALPHA
CK2[ALPHA]1	1.52941495183542	20	UKA	0.7816091954022989	1	CSNK2A1	CMGC	CK2	NA
PIM3	1.63103038847384	16	UKA	0.8275862068965517	1	PIM3	CAMK	PIM	NA
AKT1/PKB[ALPHA]	1.48989875672188	22	UKA	0.7586206896551724	1	AKT1	AGC	AKT	NA
ATR	1.47706335513987	23	UKA	0.7471264367816092	2	ATR	ATYPICAL	PIKK	ATR
AURA/AUR2	1.49018252871043	21	UKA	0.7701149425287356	1	AURKA	OTHER	AUR	NA
AMPK[ALPHA]1	1.44281143909404	27	UKA	0.7011494252873564	2	PRKAA1	CAMK	CAMKL	AMPK
CDK10	1.46160522301917	25	UKA	0.7241379310344828	2	CDK10	CMGC	CDK	CDK10
RSK2	1.46240110538122	24	UKA	0.735632183908046	2	RPS6KA3	AGC	RSK	RSK
SGK2	1.62525266757252	17	UKA	0.8160919540229885	1	SGK2	AGC	SGK	NA
SGK2	1.62525266757252	17	UKA	0.8160919540229885	1	SGK3	AGC	SGK	NA
AURB/AUR1	1.4176726420878	28	UKA	0.6896551724137931	2	AURKB	OTHER	AUR	NA
CHK2	1.44423743229912	26	UKA	0.7126436781609196	2	CHEK2	CAMK	RAD53	NA
PKC[EPSILON]	1.38916303418234	30	UKA	0.6666666666666666	2	PRKCE	AGC	PKC	ETA
IKK[ALPHA]	1.39145583752669	29	UKA	0.6781609195402298	2	CHUK	OTHER	IKK	NA
PFTAIRE1	1.3742773691096	31	UKA	0.6551724137931034	2	CDK14	CMGC	CDK	PFTAIRE
DAPK2	1.36708994754628	32	UKA	0.6436781609195402	2	DAPK2	CAMK	DAPK	DAPK
RSK1/P90RSK	1.34421257968761	33	UKA	0.632183908045977	2	RPS6KA2	AGC	RSK	RSK
PKN1/PRK1	1.31586585218118	35	UKA	0.6091954022988506	2	PKN1	AGC	PKN	NA
PRKY	1.34269463240971	34	UKA	0.6206896551724138	2	PRKY	AGC	PKA	NA
PFTAIRE2	1.26673524624727	37	UKA	0.5862068965517241	2	CDK15	CMGC	CDK	PFTAIRE
IKK[EPSILON]	1.28180044273438	36	UKA	0.5977011494252874	2	IKBKE	OTHER	IKK	NA
CHK1	1.20986988944139	42	UKA	0.5287356321839081	2	CHEK1	CAMK	CAMKL	CHK1
PKC[ZETA]	1.23260240778806	38	UKA	0.5747126436781609	2	PRKCZ	AGC	PKC	IOTA
MSK2	1.22855552745213	39	UKA	0.5632183908045977	2	RPS6KA4	AGC	RSK	MSK
HGK/ZC1	1.21598557251044	40	UKA	0.5517241379310345	2	MAP4K4	STE	STE20	MSN
MSK1	1.19316884811034	44	UKA	0.5057471264367817	2	RPS6KA5	AGC	RSK	MSK
MSK1	1.19316884811034	44	UKA	0.5057471264367817	2	SIK1	CAMK	CAMKL	QIK
ROCK2	1.20144810564145	43	UKA	0.5172413793103449	2	ROCK2	AGC	DMPK	ROCK
PKC[IOTA]	1.20988443822659	41	UKA	0.5402298850574713	2	PRKCI	AGC	PKC	IOTA
RSK3	1.1637215790139	45	UKA	0.4942528735632184	3	RPS6KA1	AGC	RSK	RSK
NUAK1	1.1605046322314	46	UKA	0.4827586206896552	3	NUAK1	CAMK	CAMKL	NUAK
TNIK/ZC2	1.15384515404792	47	UKA	0.47126436781609193	3	TNIK	STE	STE20	MSN
ROCK1	1.15060515050042	48	UKA	0.45977011494252873	3	ROCK1	AGC	DMPK	ROCK
MAPKAPK2	1.11940685691336	52	UKA	0.41379310344827586	3	MAPKAPK2	CAMK	MAPKAPK	MAPKAPK
GSK3[BETA]	1.13241733228847	50	UKA	0.4367816091954023	3	GSK3B	CMGC	GSK	NA
SGK307	1.1283225998157	51	UKA	0.42528735632183906	3	TEX14	OTHER	NKF5	NA
PCTAIRE2	1.10957898119909	55	UKA	0.3793103448275862	3	CDK17	CMGC	CDK	PCTAIRE
CK1[ALPHA]	1.10800154923195	56	UKA	0.367816091954023	3	CSNK1A1	CK1	CK1	CK1-A
PAK1	1.09451405736311	57	UKA	0.3563218390804598	3	PAK1	STE	STE20	PAKA
BRAF	1.09366495819491	58	UKA	0.3448275862068966	3	BRAF	TKL	RAF	RAF
