chip	group	family	human_avg_mean_final_score	mouse_avg_mean_final_score
stk	AGC	Akt	1.888780746	1.590229012
stk	AGC	DMPK	1.866625206	1.176026628
stk	AGC	PKA	2.425487941	2.783250583
stk	AGC	PKC	3.330567148	1.741357725
stk	AGC	PKG	2.86519035	3.344221229
stk	AGC	PKN	1.229509834	1.315865852
stk	AGC	RSK	1.59919217	1.323677629
stk	AGC	RSKL	0.917226897	0.562062449
stk	AGC	SGK	2.396911192	1.625252668
stk	Atypical	ABC1	1.479309272	1.13968148
stk	Atypical	PIKK	1.29155595	1.267613084
stk	CAMK	CAMK1	1.649171842	2.096497769
stk	CAMK	CAMKL	1.4227937	1.271061987
stk	CAMK	DAPK	1.696831049	1.22505495
stk	CAMK	MAPKAPK	1.046840536	1.117467941
stk	CAMK	PIM	2.269333575	1.970898249
stk	CAMK	PKD	1.226705284	2.177649878
stk	CAMK	RAD53	1.060139155	1.444237432
stk	CK1	CK1	1.333916673	1.43248175
stk	CMGC	CDK	0.94745902	1.068717476
stk	CMGC	CDKL	0.647079024	0.950438041
stk	CMGC	CK2	1.924580321	1.529414952
stk	CMGC	GSK	1.271886498	1.132417332
stk	CMGC	MAPK	0.938707076	0.93465218
stk	Other	Aur	1.437393728	1.453927585
stk	Other	IKK	1.486737096	1.205676437
stk	Other	NKF5	1.091703998	1.1283226
stk	RGC	RGC	1.068191077	1.093610324
stk	STE	STE20	1.331334624	1.154781595
stk	TKL	RAF	1.218523107	1.086966411
ptk	TK	Abl	1.894079536	1.772194503
ptk	TK	ALK	1.367717889	1.167973787
ptk	TK	Axl	1.113548549	1.206353687
ptk	TK	CCK4	1.042436682	1.045591972
ptk	TK	Csk	1.419634156	1.715787597
ptk	TK	DDR	1.560529789	1.387740238
ptk	TK	EGFR	1.134564432	1.060209692
ptk	TK	Eph	1.242576203	1.391127493
ptk	TK	FAK	1.092005568	1.332786468
ptk	TK	Fer	1.100750621	1.287083791
ptk	TK	FGFR	0.995722344	1.144621192
ptk	TK	InsR	1.224467697	1.506004814
ptk	TK	Jak	1.197903271	0.923496837
ptk	TK	Lmr	1.036537304	1.091888553
ptk	TK	Met	1.353051562	1.468272488
ptk	TK	PDGFR	1.222185987	1.526703781
ptk	TK	Ret	1.162365698	1.205833089
ptk	TK	Src	2.086706363	2.158294137
ptk	TK	Syk	1.839057708	2.138141934
ptk	TK	Tec	1.160038779	1.123193169
ptk	TK	Trk	1.272066829	1.32109678
ptk	TK	VEGFR	1.052925843	1.061539685
