Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
PKC[ALPHA]	3.91353874995737	2	UKA	0.9770114942528736	1	PRKCA	AGC	PKC	ALPHA
PKA[ALPHA]	3.91353874995737	2	UKA	0.9770114942528736	1	PRKACA	AGC	PKA	NA
PKC[DELTA]	4	1	UKA	1	1	PRKCD	AGC	PKC	DELTA
PKC[GAMMA]	3.48592113083251	5	UKA	0.9425287356321839	1	PRKCG	AGC	PKC	ALPHA
PKC[BETA]	3.47614833412638	6	UKA	0.9310344827586207	1	PRKCB	AGC	PKC	ALPHA
PKC[ETA]	3.53844470147858	3	UKA	0.9655172413793104	1	PRKCH	AGC	PKC	ETA
PKC[THETA]	3.50959611142238	4	UKA	0.9540229885057471	1	PRKCQ	AGC	PKC	DELTA
PKG1	3.46223833504424	7	UKA	0.9195402298850575	1	PRKG1	AGC	PKG	NA
PKC[EPSILON]	2.95199673293138	8	UKA	0.9080459770114943	1	PRKCE	AGC	PKC	ETA
PKC[IOTA]	2.5137514353145902	11	UKA	0.8735632183908046	1	PRKCI	AGC	PKC	IOTA
PIM2	2.52434482965414	10	UKA	0.8850574712643678	1	PIM2	CAMK	PIM	NA
SGK2	2.39691119217674	12	UKA	0.8620689655172413	1	SGK2	AGC	SGK	NA
SGK2	2.39691119217674	12	UKA	0.8620689655172413	1	SGK3	AGC	SGK	NA
PKC[ZETA]	2.58570713207006	9	UKA	0.896551724137931	1	PRKCZ	AGC	PKC	IOTA
ROCK2	2.29531605742768	14	UKA	0.8390804597701149	1	ROCK2	AGC	DMPK	ROCK
PIM1	2.3013216551852	13	UKA	0.8505747126436781	1	PIM1	CAMK	PIM	NA
DAPK2	2.27504675558474	15	UKA	0.8275862068965517	1	DAPK2	CAMK	DAPK	DAPK
PKG2	2.26814236474744	16	UKA	0.8160919540229885	1	PRKG2	AGC	PKG	NA
AKT2/PKB[BETA]	1.96277925044167	19	UKA	0.7816091954022989	1	AKT2	AGC	AKT	NA
PRKX	2.16316076791431	17	UKA	0.8045977011494253	1	PRKX	AGC	PKA	NA
CK2[ALPHA]1	1.92458032110002	21	UKA	0.7586206896551724	1	CSNK2A1	CMGC	CK2	NA
PIM3	1.98233424157581	18	UKA	0.7931034482758621	1	PIM3	CAMK	PIM	NA
P70S6K[BETA]	1.93743251876835	20	UKA	0.7701149425287356	1	RPS6KB2	AGC	RSK	P70
AKT1/PKB[ALPHA]	1.81478224186317	22	UKA	0.7471264367816092	2	AKT1	AGC	AKT	NA
CDK10	1.79584441538437	24	UKA	0.7241379310344828	2	CDK10	CMGC	CDK	CDK10
RSK1/P90RSK	1.76415610816643	26	UKA	0.7011494252873564	2	RPS6KA2	AGC	RSK	RSK
TBK1	1.79418342331732	25	UKA	0.7126436781609196	2	TBK1	OTHER	IKK	NA
AMPK[ALPHA]1	1.8004353142686	23	UKA	0.735632183908046	2	PRKAA1	CAMK	CAMKL	AMPK
RSK2	1.61880888954153	28	UKA	0.6781609195402298	2	RPS6KA3	AGC	RSK	RSK
CAMK4	1.64917184226551	27	UKA	0.6896551724137931	2	CAMK4	CAMK	CAMK1	NA
CAMK4	1.64917184226551	27	UKA	0.6896551724137931	2	CAMKK1	OTHER	CAMKK	META
IKK[EPSILON]	1.59662757245027	29	UKA	0.6666666666666666	2	IKBKE	OTHER	IKK	NA
HGK/ZC1	1.50456372017898	31	UKA	0.6436781609195402	2	MAP4K4	STE	STE20	MSN
AURA/AUR2	1.48850471053462	32	UKA	0.632183908045977	2	AURKA	OTHER	AUR	NA
MSK1	1.48198739371057	33	UKA	0.6206896551724138	2	RPS6KA5	AGC	RSK	MSK
MSK1	1.48198739371057	33	UKA	0.6206896551724138	2	SIK1	CAMK	CAMKL	QIK
PFTAIRE1	1.475166194967	36	UKA	0.5862068965517241	2	CDK14	CMGC	CDK	PFTAIRE
TNIK/ZC2	1.46984098162238	37	UKA	0.5747126436781609	2	TNIK	STE	STE20	MSN
CK1[EPSILON]	1.46852108295774	38	UKA	0.5632183908045977	2	CSNK1E	CK1	CK1	CK1-D
RSK3	1.4758856934213	35	UKA	0.5977011494252874	2	RPS6KA1	AGC	RSK	RSK
