Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
AAK1	1	253	KEA3	0	4	AAK1	OTHER	"NAK"	BIKE
ABL1	0.005138666666666667	28	KEA3	0.9228571428571428	1	ABL1	TK	ABL	NA
ABL2	0.6680733333333333	226	KEA3	0.3314285714285714	3	ABL2	TK	ABL	NA
ACVR1	0.5003645	149	KEA3	0.5714285714285714	2	ACVR1	TKL	STKR	TYPE1
ACVR1B	0.555	191	KEA3	0.44	3	ACVR1B	TKL	STKR	TYPE1
ACVR2B	1	253	KEA3	0	4	ACVR2B	TKL	STKR	TYPE2
AKT1	6.012000000000001e-4	14	KEA3	0.9628571428571429	1	AKT1	AGC	AKT	NA
AKT2	0.10105566666666667	81	KEA3	0.7657142857142857	1	AKT2	AGC	AKT	NA
AKT3	3.33e-4	11	KEA3	0.9714285714285714	1	AKT3	AGC	AKT	NA
ALK	0.03173545	57	KEA3	0.8342857142857143	1	ALK	TK	ALK	NA
ARAF	0.01221	43	KEA3	0.8771428571428571	1	ARAF	TKL	RAF	RAF
ATM	0.6899	245	KEA3	0.27714285714285714	3	ATM	ATYPICAL	PIKK	ATM
ATR	0.6673633333333333	219	KEA3	0.3514285714285714	3	ATR	ATYPICAL	PIKK	ATR
AURKA	0.007556333333333333	34	KEA3	0.9057142857142857	1	AURKA	OTHER	AUR	NA
AURKB	0.00615	29	KEA3	0.92	1	AURKB	OTHER	AUR	NA
AURKC	1	253	KEA3	0	4	AURKC	OTHER	AUR	NA
AXL	1	253	KEA3	0	4	AXL	TK	AXL	NA
BLK	1	253	KEA3	0	4	BLK	TK	SRC	SRCB
BMP2K	1	253	KEA3	0	4	BMP2K	OTHER	"NAK"	BIKE
BMPR1A	0.501555	163	KEA3	0.5285714285714286	2	BMPR1A	TKL	STKR	TYPE1
BMPR1B	1	253	KEA3	0	4	BMPR1B	TKL	STKR	TYPE1
BMPR2	0.51365	176	KEA3	0.48857142857142855	3	BMPR2	TKL	STKR	TYPE2
BMX	0.66809	227	KEA3	0.32857142857142857	3	BMX	TK	TEC	NA
BRAF	0.00679	32	KEA3	0.9114285714285715	1	BRAF	TKL	RAF	RAF
BRSK1	0.3817	132	KEA3	0.62	2	BRSK1	CAMK	CAMKL	BRSK
BRSK2	1	253	KEA3	0	4	BRSK2	CAMK	CAMKL	BRSK
BTK	0.6669603333333334	211	KEA3	0.38	3	BTK	TK	TEC	NA
BUB1	0.663	197	KEA3	0.4228571428571429	3	BUB1	OTHER	BUB	NA
CAMK1	0.14523333333333333	97	KEA3	0.72	2	CAMK1	CAMK	CAMK1	NA
CAMK1D	1	253	KEA3	0	4	CAMK1D	CAMK	CAMK1	NA
CAMK2A	0.20600001236666665	113	KEA3	0.6742857142857143	2	CAMK2A	CAMK	CAMK2	NA
CAMK2B	0.5002555	146	KEA3	0.58	2	CAMK2B	CAMK	CAMK2	NA
CAMK2D	0.66666962	198	KEA3	0.42	3	CAMK2D	CAMK	CAMK2	NA
CAMK2G	5.69e-5	3	KEA3	0.9942857142857143	1	CAMK2G	CAMK	CAMK2	NA
CAMK4	0.43196033333333334	136	KEA3	0.6085714285714285	2	CAMK4	CAMK	CAMK1	NA
CAMKK1	0.6676766666666667	223	KEA3	0.34	3	CAMKK1	OTHER	CAMKK	META
CAMKK2	0.50068	160	KEA3	0.5371428571428571	2	CAMKK2	OTHER	CAMKK	META
CDC42BPA	1	253	KEA3	0	4	CDC42BPA	AGC	DMPK	GEK
CDC7	0.53525	184	KEA3	0.46285714285714286	3	CDC7	OTHER	CDC7	NA
CDK1	5.700284e-4	13	KEA3	0.9657142857142857	1	CDK1	CMGC	CDK	CDC2
CDK11A	1	253	KEA3	0	4	CDK11A	NA	NA	NA
CDK12	1	253	KEA3	0	4	CDK12	CMGC	CDK	CRK7
CDK15	1	253	KEA3	0	4	CDK15	CMGC	CDK	PFTAIRE
CDK16	0.384	133	KEA3	0.6171428571428571	2	CDK16	CMGC	CDK	PCTAIRE
CDK18	1	253	KEA3	0	4	CDK18	CMGC	CDK	PCTAIRE
CDK19	0.0079	35	KEA3	0.9028571428571428	1	CDK19	CMGC	CDK	CDK8
CDK2	0.0029947333333333334	24	KEA3	0.9342857142857143	1	CDK2	CMGC	CDK	CDC2
CDK20	1	253	KEA3	0	4	CDK20	CMGC	CDK	CCRK
CDK3	0.22746000000000002	116	KEA3	0.6657142857142857	2	CDK3	CMGC	CDK	CDC2
CDK4	0.2626968	124	KEA3	0.6428571428571429	2	CDK4	CMGC	CDK	CDK4
CDK5	0.0017876666666666668	20	KEA3	0.9457142857142857	1	CDK5	CMGC	CDK	CDK5
CDK6	0.016220000000000002	46	KEA3	0.8685714285714285	1	CDK6	CMGC	CDK	CDK4
CDK7	0.035103333333333334	60	KEA3	0.8257142857142857	1	CDK7	CMGC	CDK	CDK7
CDK8	0.51065	175	KEA3	0.49142857142857144	3	CDK8	CMGC	CDK	CDK8
CDK9	0.1046	82	KEA3	0.7628571428571429	1	CDK9	CMGC	CDK	CDK9
CDKL3	1	253	KEA3	0	4	CDKL3	CMGC	CDKL	NA
CDKL5	0.5002645	147	KEA3	0.5771428571428572	2	CDKL5	CMGC	CDKL	NA
CHEK1	1.0999666666666666e-4	9	KEA3	0.9771428571428571	1	CHEK1	CAMK	CAMKL	CHK1
CHEK2	0.010059	38	KEA3	0.8942857142857142	1	CHEK2	CAMK	RAD53	NA
CHUK	0.0020806833333333334	22	KEA3	0.94	1	CHUK	OTHER	IKK	NA
